Модель,Метод редукции,Лучшие параметры,Accuracy,Recall,ROC AUC,R2
Bayesian Ridge,No Reduction,"{'alpha_1': 0.0001, 'alpha_2': 1e-06, 'lambda_1': 1e-06, 'lambda_2': 0.0001, 'max_iter': 100}",0.6470588235294118,0.8314606741573034,0.7709240999770696,0.4019158419116301
Bayesian Ridge,PCA,"{'alpha_1': 1e-06, 'alpha_2': 0.0001, 'lambda_1': 0.0001, 'lambda_2': 1e-06, 'max_iter': 100}",0.6256684491978609,0.8764044943820225,0.7364136665902317,0.1965243389184217
Bayesian Ridge,UMAP,"{'alpha_1': 1e-06, 'alpha_2': 1e-06, 'lambda_1': 1e-06, 'lambda_2': 1e-06, 'max_iter': 100}",0.5828877005347594,0.9438202247191011,0.6600550332492547,0.1424842632169664
CatBoost,No Reduction,"{'depth': 6, 'learning_rate': 0.01}",0.7219251336898396,0.8876404494382022,0.8253840862187571,0.5108075526691062
CatBoost,PCA,"{'depth': 8, 'learning_rate': 0.01}",0.7379679144385026,0.8539325842696629,0.8371933042880073,0.507647254206928
CatBoost,UMAP,"{'depth': 8, 'learning_rate': 0.01}",0.732620320855615,0.8876404494382022,0.8085301536344875,0.3981808019730818
Decision Tree,No Reduction,{'max_depth': 5},0.7165775401069518,0.8426966292134831,0.7680004586104104,0.3143441133910718
Decision Tree,PCA,{'max_depth': 3},0.7112299465240641,0.6853932584269663,0.731368952075212,0.23710823743362142
Decision Tree,UMAP,{'max_depth': 3},0.5080213903743316,1.0,0.6252579683558817,0.09831717299181075
ElasticNet,No Reduction,"{'alpha': 1.0, 'l1_ratio': 0.9, 'max_iter': 1000, 'tol': 0.01}",0.6524064171122995,0.8314606741573034,0.7729878468241229,0.40979227197100043
ElasticNet,PCA,"{'alpha': 1.0, 'l1_ratio': 0.1, 'max_iter': 1000, 'tol': 0.01}",0.5989304812834224,0.898876404494382,0.7274707635863334,0.20101874423073873
ElasticNet,UMAP,"{'alpha': 1.0, 'l1_ratio': 0.9, 'max_iter': 1000, 'tol': 0.01}",0.5828877005347594,0.9438202247191011,0.6626920431093786,0.14381556317552102
Gradient Boosting,No Reduction,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.7272727272727273,0.8539325842696629,0.8188488878697546,0.4824099950179084
Gradient Boosting,PCA,"{'learning_rate': 0.01, 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200, 'subsample': 0.8}",0.7219251336898396,0.8426966292134831,0.8196514560880532,0.4829583342351048
Gradient Boosting,UMAP,"{'learning_rate': 0.01, 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200, 'subsample': 0.9}",0.7219251336898396,0.7752808988764045,0.8001605136436597,0.37516530415437976
K-Nearest Neighbors,No Reduction,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",0.8021390374331551,0.8651685393258427,0.8534739738592066,0.4811011653304029
K-Nearest Neighbors,PCA,"{'algorithm': 'brute', 'leaf_size': 10, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.7433155080213903,0.8089887640449438,0.8305434533363907,0.42453455955594166
K-Nearest Neighbors,UMAP,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'n_neighbors': 10, 'p': 1, 'weights': 'distance'}",0.7433155080213903,0.8202247191011236,0.7998165558358175,0.3746207993380365
Lasso,No Reduction,"{'alpha': 10.0, 'max_iter': 1000, 'tol': 0.01}",0.6524064171122995,0.8539325842696629,0.7714973629901399,0.37593710090128674
Lasso,PCA,"{'alpha': 10.0, 'max_iter': 1000, 'tol': 0.01}",0.6096256684491979,0.8876404494382022,0.738362760834671,0.20082974044618895
Lasso,UMAP,"{'alpha': 1.0, 'max_iter': 1000, 'tol': 0.01}",0.5989304812834224,0.9438202247191011,0.6692272414583811,0.14699525088373555
Linear,No Reduction,default,0.6737967914438503,0.7752808988764045,0.7665673010777344,0.3528113720419671
Linear,PCA,default,0.6363636363636364,0.8651685393258427,0.7407704654895666,0.18873088594417087
