Модель,Метод редукции,Лучшие параметры,Accuracy,Precision,Recall,F1,ROC AUC
AdaBoost,NoReduction,"{'learning_rate': 1.0, 'n_estimators': 200}",0.7219251336898396,0.6846846846846847,0.8172043010752689,0.7450980392156863,0.7728208647906658
AdaBoost,PCA,"{'learning_rate': 1.0, 'n_estimators': 200}",0.7058823529411765,0.6979166666666666,0.7204301075268817,0.708994708994709,0.7628117135666896
AdaBoost,UMAP,"{'learning_rate': 1.0, 'n_estimators': 200}",0.6256684491978609,0.6385542168674698,0.5698924731182796,0.6022727272727273,0.7182566918325327
CatBoost,NoReduction,"{'depth': 4, 'iterations': 500, 'learning_rate': 0.01}",0.7165775401069518,0.6886792452830188,0.7849462365591398,0.7336683417085427,0.7914092884923359
CatBoost,PCA,"{'depth': 4, 'iterations': 500, 'learning_rate': 0.01}",0.7379679144385026,0.7444444444444445,0.7204301075268817,0.73224043715847,0.7956417295813315
CatBoost,UMAP,"{'depth': 6, 'iterations': 100, 'learning_rate': 0.1}",0.6844919786096256,0.6931818181818182,0.6559139784946236,0.6740331491712708,0.7836879432624113
Decision tree,NoReduction,"{'criterion': 'entropy', 'max_depth': 3}",0.6470588235294118,0.6,0.8709677419354839,0.7105263157894737,0.7215168153740562
Decision tree,PCA,"{'criterion': 'gini', 'max_depth': 5}",0.6684491978609626,0.6741573033707865,0.6451612903225806,0.6593406593406593,0.7082475406085564
Decision tree,UMAP,"{'criterion': 'gini', 'max_depth': None}",0.6631016042780749,0.65,0.6989247311827957,0.6735751295336787,0.6632921528254404
Gradient boosting,NoReduction,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",0.7219251336898396,0.7070707070707071,0.7526881720430108,0.7291666666666666,0.7975291695264242
Gradient boosting,PCA,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.9}",0.7379679144385026,0.7340425531914894,0.7419354838709677,0.7379679144385026,0.7938114847860902
Gradient boosting,UMAP,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.9}",0.679144385026738,0.6736842105263158,0.6881720430107527,0.6808510638297872,0.7657858613589568
Logistic regression,NoReduction,"{'C': 0.1, 'solver': 'liblinear'}",0.7058823529411765,0.6826923076923077,0.7634408602150538,0.7208121827411168,0.7535460992907801
Logistic regression,PCA,"{'C': 0.1, 'solver': 'liblinear'}",0.6951871657754011,0.6956521739130435,0.6881720430107527,0.6918918918918919,0.7387897506291468
Logistic regression,UMAP,"{'C': 10, 'solver': 'lbfgs'}",0.5614973262032086,0.5662650602409639,0.5053763440860215,0.5340909090909091,0.6700983756577441
MLP,NoReduction,"{'activation': 'relu', 'hidden_layer_sizes': (100,), 'max_iter': 500}",0.7219251336898396,0.6990291262135923,0.7741935483870968,0.7346938775510204,0.7764241592312972
MLP,PCA,"{'activation': 'tanh', 'hidden_layer_sizes': (100, 50), 'max_iter': 500}",0.6951871657754011,0.68,0.7311827956989247,0.7046632124352331,0.7709334248455733
MLP,UMAP,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50), 'max_iter': 500}",0.6417112299465241,0.6413043478260869,0.6344086021505376,0.6378378378378379,0.693319606497369
Random forest,NoReduction,"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 100}",0.7272727272727273,0.6981132075471698,0.7956989247311828,0.7437185929648241,0.7939258750857926
Random forest,PCA,"{'max_depth': 5, 'max_features': None, 'n_estimators': 100}",0.6951871657754011,0.6914893617021277,0.6989247311827957,0.6951871657754011,0.7863761153054221
Random forest,UMAP,"{'max_depth': 5, 'max_features': None, 'n_estimators': 100}",0.6684491978609626,0.691358024691358,0.6021505376344086,0.6436781609195402,0.7561198810340883
SGD,NoReduction,"{'alpha': 0.01, 'loss': 'hinge', 'max_iter': 1000, 'penalty': 'l1'}",0.7486631016042781,0.7211538461538461,0.8064516129032258,0.7614213197969543,0.7705902539464654
SGD,PCA,"{'alpha': 0.01, 'loss': 'hinge', 'max_iter': 1000, 'penalty': 'l2'}",0.679144385026738,0.6941176470588235,0.6344086021505376,0.6629213483146067,0.7419926790208191
SGD,UMAP,"{'alpha': 0.01, 'loss': 'modified_huber', 'max_iter': 1000, 'penalty': 'elasticnet'}",0.6042780748663101,0.7209302325581395,0.3333333333333333,0.45588235294117646,0.6034088309311371
SVC,NoReduction,"{'C': 1, 'kernel': 'rbf'}",0.7272727272727273,0.7019230769230769,0.7849462365591398,0.7411167512690355,0.793582704186685
SVC,PCA,"{'C': 0.1, 'kernel': 'linear'}",0.7165775401069518,0.7083333333333334,0.7311827956989247,0.7195767195767195,0.7430221917181424
SVC,UMAP,"{'C': 10, 'kernel': 'rbf'}",0.6310160427807486,0.6463414634146342,0.5698924731182796,0.6057142857142858,0.6714710592541753
XGBoost,NoReduction,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.9}",0.7272727272727273,0.7142857142857143,0.7526881720430108,0.7329842931937173,0.789464653397392
XGBoost,PCA,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",0.7005347593582888,0.7078651685393258,0.6774193548387096,0.6923076923076923,0.7797414779226721
XGBoost,UMAP,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.6951871657754011,0.6875,0.7096774193548387,0.6984126984126984,0.7762525737817434
