Модель,Метод редукции,Лучшие параметры,Accuracy,Recall,ROC AUC,R2
Bayesian Ridge,No Reduction,"{'alpha_1': 0.0001, 'alpha_2': 1e-06, 'lambda_1': 1e-06, 'lambda_2': 0.0001, 'max_iter': 100}",0.5389221556886228,0.975609756097561,0.7116929698708753,0.13264240922512982
Bayesian Ridge,PCA,"{'alpha_1': 0.0001, 'alpha_2': 1e-06, 'lambda_1': 1e-06, 'lambda_2': 0.0001, 'max_iter': 100}",0.5568862275449101,0.9634146341463414,0.7005021520803444,0.09646951184937791
Bayesian Ridge,UMAP,"{'alpha_1': 0.0001, 'alpha_2': 1e-06, 'lambda_1': 1e-06, 'lambda_2': 0.0001, 'max_iter': 100}",0.5089820359281437,0.9512195121951219,0.6093256814921091,0.03811940635858124
CatBoost,No Reduction,"{'depth': 4, 'learning_rate': 0.01}",0.5269461077844312,0.9390243902439024,0.7505738880918222,0.18303075863630502
CatBoost,PCA,"{'depth': 6, 'learning_rate': 0.01}",0.5868263473053892,0.9390243902439024,0.770803443328551,0.17751565623476973
CatBoost,UMAP,"{'depth': 4, 'learning_rate': 0.01}",0.562874251497006,0.9512195121951219,0.7071018651362984,0.09212090550640695
Decision Tree,No Reduction,{'max_depth': 3},0.49101796407185627,1.0,0.6866571018651363,0.14723435078094815
Decision Tree,PCA,{'max_depth': 3},0.49101796407185627,1.0,0.6298421807747488,-0.01681336107275877
Decision Tree,UMAP,{'max_depth': 3},0.5029940119760479,0.926829268292683,0.5576040172166428,-0.06415617582163446
ElasticNet,No Reduction,"{'alpha': 1.0, 'l1_ratio': 0.5, 'max_iter': 1000, 'tol': 0.01}",0.5389221556886228,0.975609756097561,0.7071736011477762,0.13074235231370557
ElasticNet,PCA,"{'alpha': 1.0, 'l1_ratio': 0.5, 'max_iter': 1000, 'tol': 0.01}",0.5568862275449101,0.9634146341463414,0.6996413199426111,0.09651952987571766
ElasticNet,UMAP,"{'alpha': 0.1, 'l1_ratio': 0.9, 'max_iter': 1000, 'tol': 0.01}",0.5089820359281437,0.9512195121951219,0.6137733142037302,0.02190994045283068
Gradient Boosting,No Reduction,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200, 'subsample': 0.8}",0.5089820359281437,1.0,0.7217360114777618,0.12394486026359242
Gradient Boosting,PCA,"{'learning_rate': 0.01, 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",0.49101796407185627,1.0,0.7642037302725969,0.16927842815117677
Gradient Boosting,UMAP,"{'learning_rate': 0.01, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.9}",0.49101796407185627,1.0,0.7047345767575323,0.10205434628104537
K-Nearest Neighbors,No Reduction,"{'algorithm': 'kd_tree', 'leaf_size': 10, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",0.6287425149700598,0.8658536585365854,0.7672883787661406,0.15538240517137947
K-Nearest Neighbors,PCA,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'n_neighbors': 10, 'p': 2, 'weights': 'uniform'}",0.6047904191616766,0.8658536585365854,0.7476327116212338,0.17194993345043597
K-Nearest Neighbors,UMAP,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.6047904191616766,0.8658536585365854,0.71987087517934,0.05262499620551775
Lasso,No Reduction,"{'alpha': 1.0, 'max_iter': 1000, 'tol': 0.001}",0.5688622754491018,0.9390243902439024,0.7207317073170731,0.13109566841710651
Lasso,PCA,"{'alpha': 1.0, 'max_iter': 1000, 'tol': 0.01}",0.5568862275449101,0.9512195121951219,0.7048063127690101,0.09297856403804106
Lasso,UMAP,"{'alpha': 1.0, 'max_iter': 1000, 'tol': 0.01}",0.5089820359281437,0.9512195121951219,0.6235294117647059,0.03277523861292342
Linear,No Reduction,default,0.5089820359281437,0.7926829268292683,0.6878048780487804,-259393.83007211224
Linear,PCA,default,0.5508982035928144,0.9390243902439024,0.7071018651362985,0.09140954749267916
Linear,UMAP,default,0.5089820359281437,0.9512195121951219,0.6321377331420374,0.013447161128861351
MLP,No Reduction,"{'hidden_layer_sizes': (100,), 'max_iter': 500}",0.6407185628742516,0.8414634146341463,0.7591104734576758,-0.19698714840910125
MLP,PCA,"{'hidden_layer_sizes': (100,), 'max_iter': 500}",0.5688622754491018,0.9146341463414634,0.7204447632711621,0.12111915522304462
MLP,UMAP,"{'hidden_layer_sizes': (100, 50), 'max_iter': 500}",0.5089820359281437,0.9512195121951219,0.6520803443328551,0.04528041023040896
Random Forest,No Reduction,"{'max_depth': 5, 'n_estimators': 50}",0.5149700598802395,1.0,0.7019368723098995,0.13037032920174285
Random Forest,PCA,"{'max_depth': 5, 'n_estimators': 100}",0.5209580838323353,1.0,0.7250358680057389,0.12220283963031942
Random Forest,UMAP,"{'max_depth': 5, 'n_estimators': 100}",0.5269461077844312,1.0,0.6840746054519369,0.09421408603721948
Ridge,No Reduction,"{'alpha': 10.0, 'solver': 'saga'}",0.5808383233532934,0.9146341463414634,0.7178622668579627,0.10719210618001884
Ridge,PCA,"{'alpha': 10.0, 'solver': 'sparse_cg'}",0.5508982035928144,0.9390243902439024,0.7065279770444763,0.09172897957789017
Ridge,UMAP,"{'alpha': 1.0, 'solver': 'sparse_cg'}",0.5089820359281437,0.9512195121951219,0.6294117647058824,0.015037313667567442
SVR,No Reduction,"{'C': 1, 'kernel': 'linear'}",0.6167664670658682,0.7073170731707317,0.6865853658536584,0.006257693258119312
SVR,PCA,"{'C': 10, 'kernel': 'linear'}",0.6287425149700598,0.7560975609756098,0.7089670014347202,-0.015774013496727024
SVR,UMAP,"{'C': 10, 'kernel': 'linear'}",0.5688622754491018,0.6707317073170732,0.6081779053084649,-0.0912015660936254
