Модель,Метод редукции,Лучшие параметры,Accuracy,Precision,Recall,F1,ROC AUC
AdaBoost,NoReduction,"{'learning_rate': 0.1, 'n_estimators': 200}",0.688622754491018,0.6962025316455697,0.6626506024096386,0.6790123456790124,0.7313539873780837
AdaBoost,PCA,"{'learning_rate': 1.0, 'n_estimators': 200}",0.6706586826347305,0.6627906976744186,0.6867469879518072,0.6745562130177515,0.7319994262765347
AdaBoost,UMAP,"{'learning_rate': 1.0, 'n_estimators': 100}",0.6526946107784432,0.6506024096385542,0.6506024096385542,0.6506024096385542,0.7149311531841653
CatBoost,NoReduction,"{'depth': 8, 'iterations': 100, 'learning_rate': 0.01}",0.7305389221556886,0.75,0.6867469879518072,0.7169811320754716,0.7900172117039587
CatBoost,PCA,"{'depth': 6, 'iterations': 500, 'learning_rate': 0.01}",0.7245508982035929,0.7283950617283951,0.7108433734939759,0.7195121951219512,0.773235800344234
CatBoost,UMAP,"{'depth': 4, 'iterations': 500, 'learning_rate': 0.01}",0.6826347305389222,0.6785714285714286,0.6867469879518072,0.6826347305389222,0.7643430866322432
Decision tree,NoReduction,"{'criterion': 'entropy', 'max_depth': None}",0.6826347305389222,0.6973684210526315,0.6385542168674698,0.6666666666666666,0.6689615605278256
Decision tree,PCA,"{'criterion': 'gini', 'max_depth': None}",0.6586826347305389,0.6710526315789473,0.6144578313253012,0.6415094339622641,0.6539730349971314
Decision tree,UMAP,"{'criterion': 'entropy', 'max_depth': 5}",0.5988023952095808,0.5727272727272728,0.7590361445783133,0.6528497409326425,0.5680579460699944
Gradient boosting,NoReduction,"{'learning_rate': 0.2, 'max_depth': 10, 'n_estimators': 50, 'subsample': 0.9}",0.6946107784431138,0.6904761904761905,0.6987951807228916,0.6946107784431138,0.7472748135398738
Gradient boosting,PCA,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.7245508982035929,0.7078651685393258,0.7590361445783133,0.7325581395348837,0.7614744693057947
Gradient boosting,UMAP,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.6526946107784432,0.6404494382022472,0.6867469879518072,0.6627906976744186,0.7272662076878945
Logistic regression,NoReduction,"{'C': 1, 'solver': 'liblinear'}",0.6287425149700598,0.6363636363636364,0.5903614457831325,0.6125,0.6769219736087206
Logistic regression,PCA,"{'C': 0.1, 'solver': 'lbfgs'}",0.5868263473053892,0.5795454545454546,0.6144578313253012,0.5964912280701754,0.6454388984509466
Logistic regression,UMAP,"{'C': 10, 'solver': 'liblinear'}",0.6526946107784432,0.6436781609195402,0.6746987951807228,0.6588235294117647,0.6927710843373495
MLP,NoReduction,"{'activation': 'tanh', 'hidden_layer_sizes': (100,), 'max_iter': 500}",0.6766467065868264,0.6835443037974683,0.6506024096385542,0.6666666666666666,0.7265490533562823
MLP,PCA,"{'activation': 'tanh', 'hidden_layer_sizes': (100,), 'max_iter': 500}",0.7245508982035929,0.7176470588235294,0.7349397590361446,0.7261904761904762,0.7690045897877223
MLP,UMAP,"{'activation': 'tanh', 'hidden_layer_sizes': (100,), 'max_iter': 500}",0.6646706586826348,0.6451612903225806,0.7228915662650602,0.6818181818181818,0.6848823866896155
Random forest,NoReduction,"{'max_depth': None, 'max_features': 'log2', 'n_estimators': 100}",0.6946107784431138,0.7051282051282052,0.6626506024096386,0.6832298136645962,0.7644148020654045
Random forest,PCA,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 50}",0.6946107784431138,0.6777777777777778,0.7349397590361446,0.7052023121387283,0.7629087779690189
Random forest,UMAP,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 100}",0.7005988023952096,0.6896551724137931,0.7228915662650602,0.7058823529411765,0.7553786574870911
SGD,NoReduction,"{'alpha': 0.01, 'loss': 'hinge', 'max_iter': 1000, 'penalty': 'elasticnet'}",0.6407185628742516,0.6533333333333333,0.5903614457831325,0.620253164556962,0.6589931153184165
SGD,PCA,"{'alpha': 0.01, 'loss': 'log_loss', 'max_iter': 1000, 'penalty': 'elasticnet'}",0.5988023952095808,0.5869565217391305,0.6506024096385542,0.6171428571428571,0.6485943775100402
SGD,UMAP,"{'alpha': 0.001, 'loss': 'hinge', 'max_iter': 1000, 'penalty': 'l1'}",0.5329341317365269,0.5163398692810458,0.9518072289156626,0.6694915254237288,0.6653757888697647
SVC,NoReduction,"{'C': 1, 'kernel': 'linear'}",0.6467065868263473,0.65,0.6265060240963856,0.6380368098159509,0.6779977051061389
SVC,PCA,"{'C': 0.1, 'kernel': 'linear'}",0.6167664670658682,0.611764705882353,0.6265060240963856,0.6190476190476191,0.6392713711990821
SVC,UMAP,"{'C': 0.1, 'kernel': 'linear'}",0.6646706586826348,0.7076923076923077,0.5542168674698795,0.6216216216216216,0.6782845668387837
XGBoost,NoReduction,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 200, 'subsample': 0.8}",0.7245508982035929,0.7341772151898734,0.6987951807228916,0.7160493827160493,0.7631956397016637
XGBoost,PCA,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.7245508982035929,0.7283950617283951,0.7108433734939759,0.7195121951219512,0.7746701090074584
XGBoost,UMAP,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.688622754491018,0.6823529411764706,0.6987951807228916,0.6904761904761905,0.7322862880091796
