Модель,Метод редукции,Лучшие параметры,Accuracy,Recall,ROC AUC,R2
Bayesian Ridge,No Reduction,"{'alpha_1': 0.0001, 'alpha_2': 1e-06, 'lambda_1': 1e-06, 'lambda_2': 0.0001, 'max_iter': 100}",0.5764705882352941,1.0,0.5600198412698413,0.033637735189812945
Bayesian Ridge,PCA,"{'alpha_1': 1e-06, 'alpha_2': 0.0001, 'lambda_1': 0.0001, 'lambda_2': 0.0001, 'max_iter': 100}",0.5764705882352941,1.0,0.5007794784580499,-0.024120291183947984
Bayesian Ridge,UMAP,"{'alpha_1': 1e-06, 'alpha_2': 0.0001, 'lambda_1': 0.0001, 'lambda_2': 1e-06, 'max_iter': 100}",0.5764705882352941,1.0,0.5980725623582767,-0.005180727657822848
CatBoost,No Reduction,"{'depth': 4, 'learning_rate': 0.01}",0.5941176470588235,1.0,0.6759495464852607,0.09068968313304548
CatBoost,PCA,"{'depth': 4, 'learning_rate': 0.01}",0.5764705882352941,1.0,0.6436366213151928,0.0261604721534483
CatBoost,UMAP,"{'depth': 4, 'learning_rate': 0.01}",0.5764705882352941,1.0,0.6515022675736962,0.017993321123503825
Decision Tree,No Reduction,{'max_depth': 3},0.5764705882352941,1.0,0.5858843537414967,-0.05539244896283435
Decision Tree,PCA,{'max_depth': 3},0.5764705882352941,1.0,0.5555555555555556,-0.05799334346264562
Decision Tree,UMAP,{'max_depth': 3},0.5764705882352941,1.0,0.5013463718820861,-0.09855266942386876
ElasticNet,No Reduction,"{'alpha': 1.0, 'l1_ratio': 0.1, 'max_iter': 1000, 'tol': 0.001}",0.5705882352941176,0.9897959183673469,0.5750425170068028,0.04200142917749472
ElasticNet,PCA,"{'alpha': 1.0, 'l1_ratio': 0.1, 'max_iter': 1000, 'tol': 0.0001}",0.5764705882352941,1.0,0.5013463718820862,-0.028146738347744504
ElasticNet,UMAP,"{'alpha': 1.0, 'l1_ratio': 0.9, 'max_iter': 1000, 'tol': 0.01}",0.5764705882352941,1.0,0.5783730158730158,-0.007290126032342359
Gradient Boosting,No Reduction,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",0.5764705882352941,1.0,0.6719812925170069,0.06104916738855992
Gradient Boosting,PCA,"{'learning_rate': 0.01, 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.5764705882352941,1.0,0.644203514739229,0.017059379652651585
Gradient Boosting,UMAP,"{'learning_rate': 0.01, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50, 'subsample': 0.9}",0.5764705882352941,1.0,0.6043083900226758,0.02757390704911311
K-Nearest Neighbors,No Reduction,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 10, 'p': 2, 'weights': 'uniform'}",0.5705882352941176,0.9489795918367347,0.6597222222222222,0.035313668484219685
K-Nearest Neighbors,PCA,"{'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 10, 'p': 1, 'weights': 'uniform'}",0.5941176470588235,0.9489795918367347,0.6820436507936508,0.08361974348468593
K-Nearest Neighbors,UMAP,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'n_neighbors': 10, 'p': 2, 'weights': 'uniform'}",0.611764705882353,0.9183673469387755,0.6254960317460317,-0.01679781503629596
Lasso,No Reduction,"{'alpha': 1.0, 'max_iter': 1000, 'tol': 0.01}",0.5764705882352941,1.0,0.5227465986394558,0.006047098128565409
Lasso,PCA,"{'alpha': 1.0, 'max_iter': 1000, 'tol': 0.01}",0.5764705882352941,1.0,0.523030045351474,-0.017282289777845294
Lasso,UMAP,"{'alpha': 1.0, 'max_iter': 1000, 'tol': 0.01}",0.5764705882352941,1.0,0.5816326530612245,-0.00824589022355493
Linear,No Reduction,default,0.5882352941176471,0.8571428571428571,0.626204648526077,-0.06569176325343462
Linear,PCA,default,0.5705882352941176,0.9897959183673469,0.4942602040816327,-0.06296574457063508
Linear,UMAP,default,0.5764705882352941,1.0,0.5874433106575964,-0.013549076658365466
MLP,No Reduction,"{'hidden_layer_sizes': (100,), 'max_iter': 500}",0.5882352941176471,0.7142857142857143,0.5954506802721089,-0.8851119148026632
MLP,PCA,"{'hidden_layer_sizes': (100,), 'max_iter': 500}",0.6411764705882353,0.8877551020408163,0.6660289115646257,0.017512444747463385
MLP,UMAP,"{'hidden_layer_sizes': (100, 50), 'max_iter': 500}",0.5764705882352941,1.0,0.5890022675736961,-0.01574252152194755
Random Forest,No Reduction,"{'max_depth': 5, 'n_estimators': 100}",0.5764705882352941,1.0,0.6894132653061225,0.06713159814331005
Random Forest,PCA,"{'max_depth': 5, 'n_estimators': 50}",0.5764705882352941,1.0,0.6247874149659864,-0.02388671636594686
Random Forest,UMAP,"{'max_depth': 5, 'n_estimators': 100}",0.5764705882352941,1.0,0.6001275510204083,-0.02205433938088719
Ridge,No Reduction,"{'alpha': 10.0, 'solver': 'saga'}",0.5647058823529412,0.8571428571428571,0.6049461451247166,0.01502874891311401
Ridge,PCA,"{'alpha': 10.0, 'solver': 'sag'}",0.5705882352941176,0.9897959183673469,0.4941184807256236,-0.06221633090769885
Ridge,UMAP,"{'alpha': 10.0, 'solver': 'sparse_cg'}",0.5764705882352941,1.0,0.5975056689342404,-0.013491071756563722
SVR,No Reduction,"{'C': 10, 'kernel': 'rbf'}",0.6352941176470588,0.7346938775510204,0.7081207482993197,-0.04513979539301549
SVR,PCA,"{'C': 10, 'kernel': 'rbf'}",0.6470588235294118,0.7040816326530612,0.7018849206349206,-0.10866627522012329
SVR,UMAP,"{'C': 10, 'kernel': 'rbf'}",0.6411764705882353,0.6326530612244898,0.6678004535147393,-0.24194786740147345
