Модель,Метод редукции,Лучшие параметры,Accuracy,Precision,Recall,F1,ROC AUC
AdaBoost,NoReduction,"{'learning_rate': 1.0, 'n_estimators': 200}",0.6,0.6075949367088608,0.5647058823529412,0.5853658536585366,0.6383391003460208
AdaBoost,PCA,"{'learning_rate': 0.01, 'n_estimators': 50}",0.5588235294117647,0.5862068965517241,0.4,0.4755244755244755,0.5719723183391003
AdaBoost,UMAP,"{'learning_rate': 1.0, 'n_estimators': 200}",0.611764705882353,0.6338028169014085,0.5294117647058824,0.5769230769230769,0.6710726643598617
CatBoost,NoReduction,"{'depth': 8, 'iterations': 500, 'learning_rate': 0.1}",0.6,0.6049382716049383,0.5764705882352941,0.5903614457831325,0.6361937716262975
CatBoost,PCA,"{'depth': 6, 'iterations': 100, 'learning_rate': 0.01}",0.5882352941176471,0.6056338028169014,0.5058823529411764,0.5512820512820513,0.6555709342560553
CatBoost,UMAP,"{'depth': 4, 'iterations': 100, 'learning_rate': 0.1}",0.6176470588235294,0.631578947368421,0.5647058823529412,0.5962732919254659,0.659446366782007
Decision tree,NoReduction,"{'criterion': 'gini', 'max_depth': None}",0.5529411764705883,0.5569620253164557,0.5176470588235295,0.5365853658536586,0.5508650519031142
Decision tree,PCA,"{'criterion': 'entropy', 'max_depth': 10}",0.5588235294117647,0.5555555555555556,0.5882352941176471,0.5714285714285714,0.5721107266435985
Decision tree,UMAP,"{'criterion': 'gini', 'max_depth': None}",0.6176470588235294,0.625,0.5882352941176471,0.6060606060606061,0.6176470588235294
Gradient boosting,NoReduction,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.9}",0.5470588235294118,0.5444444444444444,0.5764705882352941,0.56,0.6231833910034602
Gradient boosting,PCA,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.9}",0.5764705882352941,0.5844155844155844,0.5294117647058824,0.5555555555555556,0.6047058823529412
Gradient boosting,UMAP,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6909342560553633
Logistic regression,NoReduction,"{'C': 0.1, 'solver': 'liblinear'}",0.5647058823529412,0.5733333333333334,0.5058823529411764,0.5375,0.5786851211072663
Logistic regression,PCA,"{'C': 0.1, 'solver': 'liblinear'}",0.5941176470588235,0.6111111111111112,0.5176470588235295,0.5605095541401274,0.5643598615916955
Logistic regression,UMAP,"{'C': 0.1, 'solver': 'liblinear'}",0.6058823529411764,0.65,0.4588235294117647,0.5379310344827586,0.6322491349480969
MLP,NoReduction,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50), 'max_iter': 500}",0.6,0.6075949367088608,0.5647058823529412,0.5853658536585366,0.6278200692041522
MLP,PCA,"{'activation': 'relu', 'hidden_layer_sizes': (100,), 'max_iter': 500}",0.5941176470588235,0.5930232558139535,0.6,0.5964912280701754,0.6276816608996539
MLP,UMAP,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50), 'max_iter': 500}",0.5882352941176471,0.6229508196721312,0.4470588235294118,0.5205479452054794,0.6048442906574394
Random forest,NoReduction,"{'max_depth': 10, 'max_features': None, 'n_estimators': 100}",0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.6348096885813149
Random forest,PCA,"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 50}",0.6,0.5977011494252874,0.611764705882353,0.6046511627906976,0.6231833910034602
Random forest,UMAP,"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 100}",0.6176470588235294,0.6388888888888888,0.5411764705882353,0.5859872611464968,0.6703114186851211
SGD,NoReduction,"{'alpha': 0.01, 'loss': 'hinge', 'max_iter': 1000, 'penalty': 'l1'}",0.5470588235294118,0.5526315789473685,0.49411764705882355,0.5217391304347826,0.5774394463667819
SGD,PCA,"{'alpha': 0.01, 'loss': 'log_loss', 'max_iter': 1000, 'penalty': 'l1'}",0.5294117647058824,0.5316455696202531,0.49411764705882355,0.5121951219512195,0.5527335640138408
SGD,UMAP,"{'alpha': 0.001, 'loss': 'hinge', 'max_iter': 1000, 'penalty': 'l2'}",0.6235294117647059,0.6615384615384615,0.5058823529411764,0.5733333333333334,0.62560553633218
SVC,NoReduction,"{'C': 10, 'kernel': 'rbf'}",0.611764705882353,0.611764705882353,0.611764705882353,0.611764705882353,0.6476816608996541
SVC,PCA,"{'C': 1, 'kernel': 'rbf'}",0.5941176470588235,0.6052631578947368,0.5411764705882353,0.5714285714285714,0.642560553633218
SVC,UMAP,"{'C': 1, 'kernel': 'rbf'}",0.5588235294117647,0.5714285714285714,0.47058823529411764,0.5161290322580645,0.5815916955017301
XGBoost,NoReduction,"{'colsample_bytree': 1.0, 'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",0.5941176470588235,0.5869565217391305,0.6352941176470588,0.6101694915254238,0.6420069204152249
XGBoost,PCA,"{'colsample_bytree': 0.9, 'learning_rate': 0.2, 'max_depth': 10, 'n_estimators': 200, 'subsample': 0.8}",0.5882352941176471,0.5862068965517241,0.6,0.5930232558139535,0.6169550173010381
XGBoost,UMAP,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 50, 'subsample': 1.0}",0.611764705882353,0.6233766233766234,0.5647058823529412,0.5925925925925926,0.6710726643598616
